time,linear_acceleration_x,linear_acceleration_y,linear_acceleration_z
387.520000,-0.304400,0.932607,9.750220
387.550000,-0.304409,0.932619,9.750252
387.585000,-0.304419,0.932632,9.750287
387.620000,-0.304439,0.932647,9.750323
387.650000,-0.304446,0.932657,9.750348
387.685000,-0.304451,0.932679,9.750372
387.715000,-0.304462,0.932664,9.750403
387.750000,-0.304466,0.932684,9.750423
387.785000,-0.304470,0.932704,9.750442
387.815000,-0.304417,0.932647,9.750489
387.850000,-0.304426,0.932661,9.750504
387.880000,-0.304434,0.932665,9.750519
387.915000,-0.304443,0.932669,9.750536
387.950000,-0.304450,0.932672,9.750551
387.980000,-0.304457,0.932674,9.750563
388.015000,-0.304464,0.932677,9.750577
388.045000,-0.304470,0.932679,9.750587
388.080000,-0.304476,0.932680,9.750599
388.115000,-0.304482,0.932682,9.750610
388.145000,-0.304486,0.932683,9.750619
388.180000,-0.297285,0.933561,9.751508
388.210000,-0.304449,0.932569,9.750651
388.245000,-0.304453,0.932569,9.750660
388.280000,-0.304457,0.932569,9.750667
388.310000,-0.304460,0.932569,9.750674
388.345000,-0.304463,0.932568,9.750681
388.375000,-0.304466,0.932568,9.750686
388.410000,-0.304469,0.932567,9.750692
388.445000,-1.132110,0.468378,9.340659
388.475000,-0.304441,0.932463,9.750712
388.510000,-0.304431,0.932459,9.750716
388.540000,-0.304443,0.932464,9.750721
388.575000,-0.304462,0.932474,9.750726
388.610000,-0.304435,0.932464,9.750733
388.640000,-0.304437,0.932461,9.750732
388.675000,-0.309742,0.931348,9.749679
388.705000,-0.304452,0.932474,9.750737
388.740000,-0.309825,0.931570,9.749692
388.775000,-0.304448,0.932465,9.750746
388.805000,-0.304449,0.932465,9.750748
388.840000,-0.304449,0.932464,9.750751
388.870000,-0.304448,0.932462,9.750753
388.905000,-0.304450,0.932464,9.750755
388.940000,-0.304451,0.932464,9.750757
388.970000,-0.309353,0.931201,9.749792
389.005000,-0.304452,0.932463,9.750761
389.035000,-0.304452,0.932463,9.750762
389.070000,-0.304451,0.932461,9.750764
389.105000,-0.304453,0.932462,9.750765
389.135000,-0.304453,0.932462,9.750767
389.170000,-0.304219,0.932271,9.750804
389.200000,-0.304454,0.932461,9.750769
389.235000,-0.304454,0.932461,9.750770
389.270000,-0.304453,0.932459,9.750772
389.300000,-0.304454,0.932460,9.750772
389.335000,-0.304455,0.932459,9.750773
389.365000,-0.304456,0.932460,9.750774
389.400000,-0.304455,0.932458,9.750775
389.435000,-0.304455,0.932458,9.750776
389.465000,-0.304456,0.932458,9.750776
389.500000,-0.304456,0.932457,9.750777
389.530000,-0.304456,0.932456,9.750778
389.565000,-0.304457,0.932456,9.750778
389.600000,-0.304457,0.932455,9.750779
389.630000,-0.304457,0.932454,9.750779
389.665000,-0.304457,0.932454,9.750780
389.695000,-0.304457,0.932453,9.750780
389.730000,-0.304457,0.932452,9.750781
389.765000,-0.304501,0.932448,9.750777
389.795000,-0.304330,0.932399,9.750809
389.830000,-0.304097,0.932152,9.750190
389.860000,-0.304114,0.932165,9.750227
389.895000,-0.304196,0.932194,9.750266
389.930000,-0.304207,0.932218,9.750300
389.960000,-0.304217,0.932214,9.750333
389.995000,-0.304237,0.932229,9.750370
390.025000,-0.304244,0.932237,9.750395
390.060000,-0.304252,0.932246,9.750423
390.095000,-0.304260,0.932254,9.750450
390.125000,-0.304265,0.932261,9.750471
390.160000,-0.304272,0.932267,9.750493
390.190000,-0.304216,0.932232,9.750532
390.225000,-0.304226,0.932235,9.750551
390.260000,-0.304225,0.932153,9.750567
390.290000,-0.304245,0.932161,9.750581
390.325000,-0.304249,0.932166,9.750597
390.355000,-0.304249,0.932188,9.750603
390.390000,-0.304257,0.932173,9.750624
390.425000,-0.304260,0.932176,9.750637
390.455000,-0.304263,0.932179,9.750648
390.490000,-0.304267,0.932182,9.750659
390.520000,-0.304269,0.932184,9.750669
390.555000,-0.304272,0.932187,9.750679
390.590000,-0.304274,0.932189,9.750688
390.620000,-0.304276,0.932190,9.750696
390.655000,-0.304279,0.932192,9.750704
390.685000,-0.304281,0.932194,9.750711
390.720000,-0.304282,0.932195,9.750718
390.755000,-0.304284,0.932197,9.750724
390.785000,-0.304286,0.932198,9.750730
390.820000,-0.304287,0.932199,9.750736
390.850000,-0.304289,0.932200,9.750740
390.885000,-0.304290,0.932200,9.750745
390.920000,-0.309988,0.931230,9.749613
390.950000,-0.304266,0.932202,9.750754
390.985000,-0.298763,0.933220,9.751868
391.015000,-0.304295,0.932200,9.750762
391.050000,-0.298908,0.933267,9.751844
391.085000,-0.304297,0.932200,9.750769
391.115000,-0.304298,0.932199,9.750772
391.150000,-0.304299,0.932199,9.750775
391.180000,-0.304300,0.932199,9.750777
391.215000,-0.304278,0.932195,9.750782
391.250000,-0.309369,0.931016,9.749779
391.280000,-0.304302,0.932198,9.750785
391.315000,-0.299333,0.933404,9.751774
391.345000,-0.304303,0.932197,9.750788
