time,name,position,velocity,effort
1.400000,pinza_i_link_joint,0.000023,-0.000000,-0.028959
1.400000,w1_link_joint,-0.000000,-0.000000,0.639165
1.400000,w2_link_joint,-0.000000,0.000000,-2.223753
1.400000,w3_link_joint,-0.000000,0.000000,0.000000
1.400000,w4_link_joint,0.000000,0.000000,0.000000
1.400000,w5_link_joint,0.000000,0.000000,-3.328074
1.400000,w6_link_joint,-0.000000,-0.000000,0.000000
1.450000,brazo1_link_joint,-0.675000,-0.100000,-1.038225
1.450000,brazo2_link_joint,0.000015,0.000002,-0.434328
1.450000,paloquebaja_link_joint,-0.060585,0.002467,39.296099
1.450000,pinza_base_link_joint,-0.000015,-0.000002,-0.000200
1.450000,pinza_d_link_joint,0.000025,0.000000,0.033260
1.450000,pinza_i_link_joint,0.000023,-0.000000,-0.028775
1.450000,w1_link_joint,-0.000000,-0.000000,0.638263
1.450000,w2_link_joint,-0.000000,0.000000,-2.223349
1.450000,w3_link_joint,-0.000000,-0.000000,0.000000
1.450000,w4_link_joint,0.000000,-0.000000,0.000000
1.450000,w5_link_joint,0.000000,0.000000,-3.327834
1.450000,w6_link_joint,-0.000000,-0.000000,0.000000
1.500000,brazo1_link_joint,-0.680000,-0.100000,-1.032037
1.500000,brazo2_link_joint,0.000015,0.000002,-0.431740
1.500000,paloquebaja_link_joint,-0.060462,0.002467,39.296099
1.500000,pinza_base_link_joint,-0.000015,-0.000002,-0.000200
1.500000,pinza_d_link_joint,0.000025,0.000000,0.033075
1.500000,pinza_i_link_joint,0.000023,-0.000000,-0.028590
1.500000,w1_link_joint,-0.000000,-0.000000,0.637357
1.500000,w2_link_joint,-0.000000,0.000000,-2.222948
1.500000,w3_link_joint,-0.000000,-0.000000,0.000000
1.500000,w4_link_joint,0.000000,-0.000000,0.000000
1.500000,w5_link_joint,0.000000,0.000000,-3.327588
1.500000,w6_link_joint,-0.000000,0.000000,0.000000
1.550000,brazo1_link_joint,-0.685000,-0.100000,-1.025824
1.550000,brazo2_link_joint,0.000015,0.000002,-0.429141
1.550000,paloquebaja_link_joint,-0.060338,0.002467,39.296099
1.550000,pinza_base_link_joint,-0.000015,-0.000002,-0.000200
1.550000,pinza_d_link_joint,0.000025,0.000000,0.032890
1.550000,pinza_i_link_joint,0.000023,-0.000000,-0.028404
1.550000,w1_link_joint,-0.000000,-0.000000,0.636447
1.550000,w2_link_joint,-0.000000,0.000000,-2.222551
1.550000,w3_link_joint,-0.000000,-0.000000,0.000000
1.550000,w4_link_joint,0.000000,-0.000000,0.000000
1.550000,w5_link_joint,0.000000,0.000000,-3.327336
1.550000,w6_link_joint,-0.000000,0.000000,0.000000
1.600000,brazo1_link_joint,-0.690000,-0.100000,-1.019585
1.600000,brazo2_link_joint,0.000015,0.000002,-0.426532
1.600000,paloquebaja_link_joint,-0.060215,0.002467,39.296099
1.600000,pinza_base_link_joint,-0.000015,-0.000002,-0.000200
1.600000,pinza_d_link_joint,0.000025,0.000000,0.032703
1.600000,pinza_i_link_joint,0.000023,-0.000000,-0.028218
1.600000,w1_link_joint,-0.000000,-0.000000,0.635533
1.600000,w2_link_joint,-0.000000,0.000000,-2.222157
1.600000,w3_link_joint,-0.000000,0.000000,0.000000
1.600000,w4_link_joint,0.000000,0.000000,0.000000
1.600000,w5_link_joint,0.000000,0.000000,-3.327079
1.600000,w6_link_joint,-0.000000,0.000000,0.000000
1.650000,brazo1_link_joint,-0.695000,-0.100000,-1.013320
1.650000,brazo2_link_joint,0.000015,0.000002,-0.423912
1.650000,paloquebaja_link_joint,-0.060092,0.002467,39.296099
1.650000,pinza_base_link_joint,-0.000015,-0.000002,-0.000200
1.650000,pinza_d_link_joint,0.000025,0.000000,0.032516
1.650000,pinza_i_link_joint,0.000023,-0.000000,-0.028031
1.650000,w1_link_joint,-0.000000,-0.000000,0.634615
1.650000,w2_link_joint,-0.000000,0.000000,-2.221767
1.650000,w3_link_joint,-0.000000,0.000000,0.000000
1.650000,w4_link_joint,0.000000,-0.000000,0.000000
1.650000,w5_link_joint,0.000000,0.000000,-3.326816
1.650000,w6_link_joint,-0.000000,-0.000000,0.000000
1.700000,brazo1_link_joint,-0.700000,-0.100000,-1.007030
1.700000,brazo2_link_joint,0.000015,0.000002,-0.421281
1.700000,paloquebaja_link_joint,-0.059968,0.002467,39.296099
1.700000,pinza_base_link_joint,-0.000015,-0.000002,-0.000199
1.700000,pinza_d_link_joint,0.000025,0.000000,0.032328
1.700000,pinza_i_link_joint,0.000023,-0.000000,-0.027843
1.700000,w1_link_joint,-0.000000,-0.000000,0.633693
1.700000,w2_link_joint,-0.000000,0.000000,-2.221380
1.700000,w3_link_joint,-0.000000,0.000000,0.000000
1.700000,w4_link_joint,0.000000,0.000000,0.000000
1.700000,w5_link_joint,0.000000,0.000000,-3.326547
1.700000,w6_link_joint,-0.000000,0.000000,0.000000
1.750000,brazo1_link_joint,-0.705000,-0.100000,-1.000715
1.750000,brazo2_link_joint,0.000015,0.000002,-0.418640
1.750000,paloquebaja_link_joint,-0.059845,0.002467,39.296099
1.750000,pinza_base_link_joint,-0.000015,-0.000002,-0.000199
1.750000,pinza_d_link_joint,0.000025,0.000000,0.032140
1.750000,pinza_i_link_joint,0.000023,-0.000000,-0.027654
1.750000,w1_link_joint,-0.000000,-0.000000,0.632767
1.750000,w2_link_joint,-0.000000,0.000000,-2.220997
1.750000,w3_link_joint,-0.000000,-0.000000,0.000000
1.750000,w4_link_joint,0.000000,-0.000000,0.000000
1.750000,w5_link_joint,0.000000,0.000000,-3.326272
1.750000,w6_link_joint,-0.000000,-0.000000,0.000000
1.800000,brazo1_link_joint,-0.710000,-0.100000,-0.994375
1.800000,brazo2_link_joint,0.000015,0.000002,-0.415989
1.800000,paloquebaja_link_joint,-0.059722,0.002467,39.296099
1.800000,pinza_base_link_joint,-0.000015,-0.000002,-0.000199
1.800000,pinza_d_link_joint,0.000025,0.000000,0.031950
1.800000,pinza_i_link_joint,0.000023,-0.000000,-0.027465
1.800000,w1_link_joint,-0.000000,-0.000000,0.631838
1.800000,w2_link_joint,-0.000000,0.000000,-2.220617
1.800000,w3_link_joint,-0.000000,0.000000,0.000000
1.800000,w4_link_joint,0.000000,0.000000,0.000000
1.800000,w5_link_joint,0.000000,0.000000,-3.325992
1.800000,w6_link_joint,-0.000000,-0.000000,0.000000
1.850000,brazo1_link_joint,-0.715000,-0.100000,-0.988010
1.850000,brazo2_link_joint,0.000015,0.000002,-0.413327
1.850000,paloquebaja_link_joint,-0.059598,0.002467,39.296099
1.850000,pinza_base_link_joint,-0.000015,-0.000002,-0.000199
1.850000,pinza_d_link_joint,0.000025,0.000000,0.031760
1.850000,pinza_i_link_joint,0.000023,-0.000000,-0.027275
