time,linear_x,angular_z
2.284675,0.000000,-1.000000
2.285210,0.000000,-1.000000
2.285811,0.000000,-1.000000
2.286466,0.000000,-1.000000
2.287063,0.000000,-1.000000
2.287585,0.000000,-1.000000
2.288179,0.000000,-1.000000
2.344467,-0.500000,0.000000
2.354472,-0.500000,0.000000
2.355021,-0.500000,0.000000
2.355661,-0.500000,0.000000
2.356186,-0.500000,0.000000
2.356785,-0.500000,0.000000
2.357378,-0.500000,0.000000
2.358023,-0.500000,0.000000
2.358676,-0.500000,0.000000
2.359226,-0.500000,0.000000
2.359787,-0.500000,0.000000
2.360458,-0.500000,0.000000
2.361067,-0.500000,0.000000
2.361658,-0.500000,0.000000
2.362254,-0.500000,0.000000
2.362786,-0.500000,0.000000
2.363380,-0.500000,0.000000
2.363997,-0.500000,0.000000
2.364644,-0.500000,0.000000
2.365187,-0.500000,0.000000
2.365784,-0.500000,0.000000
2.366459,-0.500000,0.000000
2.367088,-0.500000,0.000000
2.367656,-0.500000,0.000000
2.368210,-0.500000,0.000000
2.368797,-0.500000,0.000000
2.369387,-0.500000,0.000000
2.369983,-0.500000,0.000000
2.370583,-0.500000,0.000000
2.371167,-0.500000,0.000000
2.371762,-0.500000,0.000000
2.372470,-0.500000,0.000000
2.373093,-0.500000,0.000000
2.373649,-0.500000,0.000000
2.374189,-0.500000,0.000000
2.374785,-0.500000,0.000000
2.375464,-0.500000,0.000000
2.375993,-0.500000,0.000000
2.376595,-0.500000,0.000000
2.377192,-0.500000,0.000000
2.377764,-0.500000,0.000000
2.378439,-0.500000,0.000000
2.379082,-0.500000,0.000000
2.379630,-0.500000,0.000000
2.380224,-0.500000,0.000000
2.380804,-0.500000,0.000000
2.381459,-0.500000,0.000000
2.382081,-0.500000,0.000000
2.382579,-0.500000,0.000000
2.383185,-0.500000,0.000000
2.383785,-0.500000,0.000000
2.384422,-0.500000,0.000000
2.385039,-0.500000,0.000000
2.385653,-0.500000,0.000000
2.386205,-0.500000,0.000000
2.386794,-0.500000,0.000000
2.387463,-0.500000,0.000000
2.681734,0.500000,0.000000
2.708205,0.500000,0.000000
2.711935,0.500000,1.000000
2.736919,0.500000,1.000000
2.746213,0.500000,0.000000
2.781395,0.500000,0.000000
2.791350,0.500000,0.000000
2.791967,0.500000,0.000000
2.795725,0.000000,1.000000
2.821215,0.500000,0.000000
2.832476,0.000000,1.000000
2.849782,0.500000,0.000000
2.871589,0.000000,1.000000
